shippingDate,title,company,salary,province,workingHours,typeOfCooperation,facility,tagList
2025-04-28,متخصص هوش مصنوعی,پویش تصویر گیتی,30 - 45 میلیون تومان,تهران ، ونک,شنبه تا چهارشنبه 8 تا 17,تمام وقت یا پاره وقت,امکان دورکاری,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی ارشد\n|\nمهندسی برق', 'کارشناسی ارشد\n|\nمهندسی پزشکی', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nمتوسط', 'OpenCV\n|\nمقدماتی', 'ARCGIS\n|\nمقدماتی']"
2025-04-06,کارشناس ارشد هوش مصنوعی,شرکت راهکارهای فناوری اطلاعات آوینا,25 - 35 میلیون تومان,پردیس,شنبه تا چهارشنبه 8 تا 5 و پنجشنبه ها تا ساعت 12,تمام وقت,"امکان دورکاری
امکان جذب کارآموز","['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط']"
2025-05-04,برنامه‌نویس هوش مصنوعی (AI Developer),آکادمی همراه,an argumant,تهران ، ونک,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,"['انگلیسی\n|\nمتوسط ۵۰٪', 'Node.js\n|\nمقدماتی', 'TypeScript\n|\nمقدماتی', 'Python\n|\nمتوسط']"
2025-04-21,متخصص داده‌ کاوی,پیشتازان دانش و صنعت زنده رود,20 - 30 میلیون تومان,اصفهان ، صفه,شنبه تا پنج شنبه از ساعت 9 تا 17,قراردادی / پروژه ای,امکان دورکاری,"['کارشناسی\n|\nمهندسی صنایع', 'کارشناسی\n|\nریاضی و آمار', 'کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nمتوسط', 'R\n|\nمتوسط', 'Sql Server\n|\nمقدماتی', 'MongoDB\n|\nمقدماتی', 'PowerBI\n|\nمتوسط', 'Tableau\n|\nمتوسط']"
2025-05-02,کارشناس ارشد هوش مصنوعی,دیبا پارسیان,35 - 45 میلیون تومان,تهران ، جردن,شنبه تا چهارشنبه از ساعت 8 صبح تا ساعت 17 عصر,تمام وقت,,"['دکترا\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nپیشرفته', 'GIT\n|\nپیشرفته', 'Rest API\n|\nمتوسط', 'Kafka\n|\nمتوسط', 'Keras\n|\nپیشرفته', 'Scala\n|\nمتوسط', 'Docker\n|\nمقدماتی']"
2025-04-26,AI Engineer,هونام پرتو اندیشان ماز,an argumant,تهران ، امیرآباد,"Working hours are from Saturday to Wednesday, 9 AM to 5 PM (remote work).",Full Time,امکان دورکاری,"['Bachelor\n|\nComputer and IT', 'English\n|\nUpper Intermediate 70%', 'Rest API\n|\nAdvanced', 'Docker\n|\nAdvanced', 'Kubernetes\n|\nAdvanced', 'Python\n|\nIntermediate']"
2025-05-04,مشاور مدیرعامل (در حوزه هوش مصنوعی),هلدینگ پارسیان داده اترک,an argumant,تهران ، دروس,شنبه تا چهارشنبه از ساعت 8:00الی 16:30,پاره وقت,پاره وقت,"['دکترا\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپیشرفته ۹۰٪']"
2025-04-29,مهندس داده,کارگزاری مفید,an argumant,تهران ، جردن,شنبه تا چهارشنبه ساعت 16:30 - 07:30,تمام وقت,,"['Kafka\n|\nمتوسط', 'Python\n|\nمتوسط', 'Docker\n|\nمتوسط']"
2025-04-27,کارشناس آموزش (هوش مصنوعی و مخابرات),آکادمی همراه,an argumant,تهران ، ونک,شنبه تا چهارشنبه 8 الی 17,تمام وقت,,['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات']
2025-04-14,کارآموز هوش مصنوعی (AI Intern),روشن,an argumant,تهران ، میدان ولیعصر,شنبه تا چهارشنبه 9 تا 17,تمام وقت,"امکان دورکاری
امکان جذب کارآموز",['Python\n|\nمقدماتی']
